Name,Cycle,Element,AP,Essence,Category,Range,Type,Target,Effect
Electric Contraction,Chaining,Electric,0,2,Offensive,3,Prowess,Single-target,"Deal 1d8 + Presence, pull 2 tiles towards previous member of chain."
Water Jet,Chaining,Water,0,2,Offensive,3,Prowess,Single-target,"Deal 1d8 + Presence, push 2 tiles away from previous member of chain."
Mocking Flames,Chaining,Fire,0,2,Offensive,3,Presence,Single-target,"Deal 1d8 + Presence fire damage, apply two stacks of taunted. Previous member of chain is object of taunted."
Rainbow Accumulation,Chaining,Prismatic,0,2,Offensive,3,Expertise,Single-target,"Transfer all absorption, ailments and affliction to next target in chain."
Spectral Glow,Chaining,Radiant,0,2,Offensive,3,Focus,Single-target,"Apply two stacks of frightened, two stacks of pacified. Previous member of chain is object of frightened."
Utter Chaos,Chaining,Umbral,0,2,Offensive,3,Expertise,Single-target,Swap with previous in chain. Apply two stacks of crazed.
Blue Flame Blast,Off-color,Fire,0,2,Offensive,3,Agility,Single-target,Deal 1d8 + Presence fire damage and apply 2 stacks of chilled.
Corrupted Ice,Off-color,Water,0,2,Offensive,3,Prowess,Single-target,Deal 1d8 + Presence water damage and apply 2 stacks of withered.
Piercing Ray,Off-color,Radiant,0,2,Offensive,3,Focus,Single-target,Deal 1d8 + Presence radiant damage and apply 2 stacks of defenseless.
Raging Storm,Off-color,Electric,0,2,Offensive,3,Presence,Single-target,Deal 1d8 + Presence electric damage and apply 4 stacks of rage.
Dark Energy,Off-color,Umbral,0,2,Offensive,3,Expertise,Single-target,Deal 1d8 + Presence umbral damage and apply 2 stacks of cursed.
Wild Lightning,Excess,Electric,0,2,Offensive,3,Expertise,Single-target,"1d12 + Presence electric damage. Hit or miss, apply 4 stacks of shock to you and your target."
Pure Pain,Excess,Umbral,0,2,Offensive,3,Focus,Single-target,"1d12 + Presence umbral damage. Hit or miss, apply 4 stacks of anguish to you and your target."
Roar of Fire,Excess,Fire,0,2,Offensive,3,Agility,Single-target,"1d12 + Presence fire damage. Hit or miss, apply 4 stacks of rage to you and your target."
Bitter Cold,Excess,Water,0,2,Offensive,3,Prowess,Single-target,"1d12 + Presence water damage. Hit or miss, apply 2 stack of chilled to you and your target."
Searing Judgement,Excess,Radiant,0,2,Offensive,3,Presence,Single-target,"1d12 + Presence radiant damage. Hit or miss, apply 4 stacks of temperance to you and your target."